SPS1_1,SPS2_2,SPS2_3,SPS2_4,SPS2_5,SADBNK1,SADBNK2,SADBNK3,SADBNK4,SADBNK5,SADBNK6,SADBNK7,SADBNK8,SADBNK9,SADBNK10,SADBNK11,SADBNK12,SADBNK13,SADBNK14,SADBNK15,SADBNK16,SADBNK17,SADBNK18,SADBNK19,SADBNK20,SADBNK21,SADBNK22,SADBNK23,SADBNK24,SADBNK25,SADBNK26,SOPHStot,SOCtot
1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,2,2,2,1,1,2,2,1,2,2,1,2,8,38
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3
2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,9,53
2,1,3,1,1,2,1,2,3,1,2,4,3,1,4,2,4,2,4,2,2,2,1,2,2,0,2,1,0,2,1,8,52
1,1,1,0,1,1,2,1,2,2,0,1,1,2,2,1,2,1,0,2,1,2,2,0,0,0,2,0,1,2,0,4,30
4,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,2,3,3,4,2,3,3,3,2,3,2,2,1,3,1,12,67
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,2,3,2,2,2,2,1,0,2,2,1,1,2,0,1,2,2,2,1,3,3,3,0,2,0,42
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5
0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6
3,3,2,2,2,3,3,2,2,2,2,3,1,2,4,3,4,2,3,4,4,3,4,2,3,4,3,4,3,1,2,12,73
0,0,0,0,0,1,1,0,1,2,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,2,0,2,2,0,0,20
2,0,2,1,1,2,2,1,3,3,1,3,3,3,4,2,3,2,3,3,2,3,2,3,4,3,4,2,3,3,3,6,70
1,0,1,1,0,2,0,2,1,2,1,0,2,0,1,0,0,2,0,0,2,0,0,1,0,0,1,0,0,2,0,3,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,4,3,4,3,4,3,3,3,20,92
0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,0,0,0,0,3,2,3,0,3,3,2,2,3,2,0,0,0,37
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,2,4,4,4,4,4,20,99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,3,2,3,4,3,4,3,2,4,3,2,3,2,3,2,4,4,4,3,2,2,3,3,4,2,2,3,1,12,75
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
2,0,0,1,0,2,1,1,1,2,0,1,1,2,1,1,1,1,0,2,1,1,0,0,2,3,2,0,1,2,0,3,29
2,0,1,0,0,2,1,2,3,2,1,0,3,3,2,0,1,2,3,1,2,2,1,1,1,0,2,0,1,4,0,3,40
2,0,0,1,0,2,0,2,0,2,2,3,2,2,0,3,3,2,2,3,3,4,0,3,0,0,3,4,3,2,4,3,54
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,26
2,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,4,0,3,11
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,2,0,10
1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,2,0,0,2,0,1,16
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,2,10
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2,2,1,2,2,2,2,3,2,3,2,3,2,2,1,2,3,2,4,3,3,2,2,2,2,2,2,1,4,3,3,9,62
0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,9
3,2,3,3,3,3,3,4,3,4,1,4,4,1,3,3,2,3,3,3,1,1,2,3,1,2,3,3,1,1,4,14,66
2,1,3,2,3,2,2,3,3,3,3,3,3,3,2,3,2,3,2,3,3,4,3,0,0,3,4,0,4,3,0,11,64
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,7
1,0,0,1,0,3,2,2,2,1,2,3,1,2,3,1,3,1,4,4,1,3,3,3,2,1,3,3,3,2,3,2,61
2,2,0,2,1,2,0,3,2,2,2,4,0,3,3,3,2,1,2,3,0,1,4,3,0,1,3,3,2,0,4,7,53
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,10
2,1,1,1,1,3,2,3,3,3,2,3,2,3,3,3,3,2,2,3,3,3,2,3,2,2,3,3,3,2,3,6,69
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,6
1,0,0,0,0,2,1,0,2,0,1,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,1,13
3,1,2,2,2,2,2,2,0,2,2,2,4,0,4,4,4,0,0,4,2,2,0,2,2,2,3,0,0,0,4,10,49
